name,fileName,emotion,episode
100years,cropped_70,sad,epi36
100years,cropped_71,fear,epi36
100years,cropped_72,sad,epi36
100years,cropped_73,fear,epi36
100years,cropped_74,sad,epi36
100years,cropped_75,fear,epi36
100years,cropped_76,happy,epi36
100years,cropped_77,sad,epi36
100years,cropped_78,sad,epi36
100years,cropped_79,fear,epi36
100years,cropped_8,None,epi36
100years,cropped_80,sad,epi36
100years,cropped_81,sad,epi36
100years,cropped_82,happy,epi36
100years,cropped_83,None,epi36
100years,cropped_84,happy,epi36
100years,cropped_85,None,epi36
100years,cropped_86,happy,epi36
100years,cropped_87,fear,epi36
100years,cropped_88,fear,epi36
100years,cropped_89,fear,epi36
100years,cropped_9,sad,epi36
100years,cropped_90,None,epi36
100years,cropped_91,sad,epi36
100years,cropped_92,happy,epi36
100years,cropped_93,happy,epi36
100years,cropped_94,sad,epi36
100years,cropped_95,sad,epi36
100years,cropped_96,None,epi36
100years,cropped_97,happy,epi36
100years,cropped_98,happy,epi36
100years,cropped_99,happy,epi36
100years,cropped_1,fear,epi37
100years,cropped_10,happy,epi37
100years,cropped_100,None,epi37
100years,cropped_11,happy,epi37
100years,cropped_12,fear,epi37
100years,cropped_13,happy,epi37
100years,cropped_14,happy,epi37
100years,cropped_15,angry,epi37
100years,cropped_16,happy,epi37
100years,cropped_17,fear,epi37
100years,cropped_18,sad,epi37
100years,cropped_19,sad,epi37
100years,cropped_2,fear,epi37
100years,cropped_20,None,epi37
100years,cropped_21,fear,epi37
100years,cropped_22,fear,epi37
100years,cropped_23,sad,epi37
100years,cropped_24,sad,epi37
100years,cropped_25,None,epi37
100years,cropped_26,None,epi37
100years,cropped_27,fear,epi37
100years,cropped_28,None,epi37
100years,cropped_29,sad,epi37
100years,cropped_3,surprise,epi37
100years,cropped_30,sad,epi37
100years,cropped_31,happy,epi37
100years,cropped_32,happy,epi37
100years,cropped_33,sad,epi37
100years,cropped_34,sad,epi37
100years,cropped_35,happy,epi37
100years,cropped_36,None,epi37
100years,cropped_37,sad,epi37
100years,cropped_38,happy,epi37
100years,cropped_39,sad,epi37
100years,cropped_4,happy,epi37
100years,cropped_40,sad,epi37
100years,cropped_41,sad,epi37
100years,cropped_42,sad,epi37
100years,cropped_43,fear,epi37
100years,cropped_44,fear,epi37
100years,cropped_45,sad,epi37
100years,cropped_46,sad,epi37
100years,cropped_47,fear,epi37
100years,cropped_48,sad,epi37
100years,cropped_49,happy,epi37
100years,cropped_5,happy,epi37
100years,cropped_50,sad,epi37
100years,cropped_51,happy,epi37
100years,cropped_52,angry,epi37
100years,cropped_53,None,epi37
100years,cropped_54,None,epi37
100years,cropped_55,fear,epi37
100years,cropped_56,sad,epi37
100years,cropped_57,sad,epi37
100years,cropped_58,sad,epi37
100years,cropped_59,happy,epi37
100years,cropped_6,happy,epi37
100years,cropped_60,fear,epi37
100years,cropped_61,sad,epi37
100years,cropped_62,None,epi37
100years,cropped_63,sad,epi37
100years,cropped_64,sad,epi37
100years,cropped_65,sad,epi37
100years,cropped_66,fear,epi37
100years,cropped_67,happy,epi37
100years,cropped_68,fear,epi37
100years,cropped_69,happy,epi37
100years,cropped_7,None,epi37
100years,cropped_70,happy,epi37
100years,cropped_71,sad,epi37
100years,cropped_72,fear,epi37
100years,cropped_73,happy,epi37
100years,cropped_74,happy,epi37
100years,cropped_75,sad,epi37
100years,cropped_76,fear,epi37
100years,cropped_77,sad,epi37
100years,cropped_78,sad,epi37
100years,cropped_79,angry,epi37
100years,cropped_8,None,epi37
100years,cropped_80,sad,epi37
100years,cropped_81,sad,epi37
100years,cropped_82,happy,epi37
100years,cropped_83,happy,epi37
100years,cropped_84,fear,epi37
100years,cropped_85,surprise,epi37
100years,cropped_86,sad,epi37
100years,cropped_87,None,epi37
100years,cropped_88,fear,epi37
100years,cropped_89,happy,epi37
100years,cropped_9,fear,epi37
100years,cropped_90,sad,epi37
100years,cropped_91,surprise,epi37
100years,cropped_92,sad,epi37
100years,cropped_93,None,epi37
100years,cropped_94,sad,epi37
100years,cropped_95,sad,epi37
100years,cropped_96,sad,epi37
100years,cropped_97,sad,epi37
100years,cropped_98,happy,epi37
100years,cropped_99,sad,epi37
100years,cropped_1,sad,epi30
100years,cropped_10,None,epi30
100years,cropped_100,happy,epi30
100years,cropped_11,surprise,epi30
100years,cropped_12,fear,epi30
100years,cropped_13,sad,epi30
100years,cropped_14,fear,epi30
100years,cropped_15,surprise,epi30
100years,cropped_16,None,epi30
100years,cropped_17,angry,epi30
100years,cropped_18,sad,epi30
100years,cropped_19,disgust,epi30
100years,cropped_2,sad,epi30
100years,cropped_20,fear,epi30
100years,cropped_21,fear,epi30
100years,cropped_22,sad,epi30
100years,cropped_23,angry,epi30
100years,cropped_24,sad,epi30
100years,cropped_25,happy,epi30
100years,cropped_26,happy,epi30
100years,cropped_27,None,epi30
100years,cropped_28,fear,epi30
100years,cropped_29,angry,epi30
100years,cropped_3,sad,epi30
100years,cropped_30,sad,epi30
100years,cropped_31,sad,epi30
100years,cropped_32,None,epi30
100years,cropped_33,sad,epi30
100years,cropped_34,None,epi30
100years,cropped_35,happy,epi30
100years,cropped_36,angry,epi30
100years,cropped_37,None,epi30
100years,cropped_38,sad,epi30
100years,cropped_39,sad,epi30
100years,cropped_4,None,epi30
100years,cropped_40,happy,epi30
100years,cropped_41,fear,epi30
100years,cropped_42,angry,epi30
100years,cropped_43,None,epi30
100years,cropped_44,None,epi30
100years,cropped_45,fear,epi30
100years,cropped_46,None,epi30
100years,cropped_47,sad,epi30
100years,cropped_48,sad,epi30
100years,cropped_49,sad,epi30
100years,cropped_5,sad,epi30
100years,cropped_50,fear,epi30
100years,cropped_51,fear,epi30
100years,cropped_52,angry,epi30
100years,cropped_53,None,epi30
100years,cropped_54,sad,epi30
100years,cropped_55,sad,epi30
100years,cropped_56,sad,epi30
100years,cropped_57,sad,epi30
100years,cropped_58,sad,epi30
100years,cropped_59,sad,epi30
100years,cropped_6,sad,epi30
100years,cropped_60,happy,epi30
100years,cropped_61,sad,epi30
100years,cropped_62,None,epi30
100years,cropped_63,None,epi30
100years,cropped_64,fear,epi30
100years,cropped_65,sad,epi30
100years,cropped_66,fear,epi30
100years,cropped_67,fear,epi30
100years,cropped_68,fear,epi30
100years,cropped_69,fear,epi30
100years,cropped_7,sad,epi30
100years,cropped_70,sad,epi30
100years,cropped_71,sad,epi30
100years,cropped_72,fear,epi30
100years,cropped_73,angry,epi30
100years,cropped_74,fear,epi30
100years,cropped_75,fear,epi30
100years,cropped_76,None,epi30
100years,cropped_77,None,epi30
100years,cropped_78,sad,epi30
100years,cropped_79,happy,epi30
100years,cropped_8,sad,epi30
100years,cropped_80,fear,epi30
100years,cropped_81,happy,epi30
