name,fileName,emotion,episode
yawang,cropped_60,fear,epi6
yawang,cropped_61,happy,epi6
yawang,cropped_62,sad,epi6
yawang,cropped_63,None,epi6
yawang,cropped_64,fear,epi6
yawang,cropped_65,angry,epi6
yawang,cropped_66,fear,epi6
yawang,cropped_67,fear,epi6
yawang,cropped_68,None,epi6
yawang,cropped_69,None,epi6
yawang,cropped_7,fear,epi6
yawang,cropped_70,sad,epi6
yawang,cropped_71,sad,epi6
yawang,cropped_72,None,epi6
yawang,cropped_73,surprise,epi6
yawang,cropped_74,sad,epi6
yawang,cropped_75,happy,epi6
yawang,cropped_76,None,epi6
yawang,cropped_77,sad,epi6
yawang,cropped_78,None,epi6
yawang,cropped_79,sad,epi6
yawang,cropped_8,None,epi6
yawang,cropped_80,fear,epi6
yawang,cropped_81,angry,epi6
yawang,cropped_82,sad,epi6
yawang,cropped_83,happy,epi6
yawang,cropped_84,sad,epi6
yawang,cropped_85,surprise,epi6
yawang,cropped_86,None,epi6
yawang,cropped_87,sad,epi6
yawang,cropped_88,sad,epi6
yawang,cropped_89,None,epi6
yawang,cropped_9,sad,epi6
yawang,cropped_90,fear,epi6
yawang,cropped_91,None,epi6
yawang,cropped_92,None,epi6
yawang,cropped_93,None,epi6
yawang,cropped_94,surprise,epi6
yawang,cropped_95,fear,epi6
yawang,cropped_96,sad,epi6
yawang,cropped_97,fear,epi6
yawang,cropped_98,sad,epi6
yawang,cropped_99,surprise,epi6
yawang,cropped_1,fear,epi1
yawang,cropped_10,fear,epi1
yawang,cropped_100,happy,epi1
yawang,cropped_101,None,epi1
yawang,cropped_11,sad,epi1
yawang,cropped_12,sad,epi1
yawang,cropped_13,sad,epi1
yawang,cropped_14,sad,epi1
yawang,cropped_15,sad,epi1
yawang,cropped_17,None,epi1
yawang,cropped_18,None,epi1
yawang,cropped_19,None,epi1
yawang,cropped_2,sad,epi1
yawang,cropped_20,None,epi1
yawang,cropped_21,sad,epi1
yawang,cropped_22,sad,epi1
yawang,cropped_23,fear,epi1
yawang,cropped_24,surprise,epi1
yawang,cropped_25,None,epi1
yawang,cropped_26,sad,epi1
yawang,cropped_27,None,epi1
yawang,cropped_28,happy,epi1
yawang,cropped_29,surprise,epi1
yawang,cropped_3,fear,epi1
yawang,cropped_30,sad,epi1
yawang,cropped_31,sad,epi1
yawang,cropped_32,sad,epi1
yawang,cropped_33,sad,epi1
yawang,cropped_34,None,epi1
yawang,cropped_35,sad,epi1
yawang,cropped_36,sad,epi1
yawang,cropped_37,sad,epi1
yawang,cropped_38,sad,epi1
yawang,cropped_39,sad,epi1
yawang,cropped_4,sad,epi1
yawang,cropped_40,sad,epi1
yawang,cropped_41,sad,epi1
yawang,cropped_42,None,epi1
yawang,cropped_43,happy,epi1
yawang,cropped_44,None,epi1
yawang,cropped_45,sad,epi1
yawang,cropped_46,None,epi1
yawang,cropped_48,sad,epi1
yawang,cropped_49,sad,epi1
yawang,cropped_5,happy,epi1
yawang,cropped_50,fear,epi1
yawang,cropped_51,sad,epi1
yawang,cropped_52,fear,epi1
yawang,cropped_53,None,epi1
yawang,cropped_54,happy,epi1
yawang,cropped_55,sad,epi1
yawang,cropped_56,sad,epi1
yawang,cropped_57,sad,epi1
yawang,cropped_58,sad,epi1
yawang,cropped_59,None,epi1
yawang,cropped_6,fear,epi1
yawang,cropped_60,sad,epi1
yawang,cropped_61,None,epi1
yawang,cropped_62,fear,epi1
yawang,cropped_63,fear,epi1
yawang,cropped_64,fear,epi1
yawang,cropped_65,angry,epi1
yawang,cropped_66,fear,epi1
yawang,cropped_67,happy,epi1
yawang,cropped_68,None,epi1
yawang,cropped_69,None,epi1
yawang,cropped_7,None,epi1
yawang,cropped_70,sad,epi1
yawang,cropped_72,sad,epi1
yawang,cropped_73,sad,epi1
yawang,cropped_74,fear,epi1
yawang,cropped_75,happy,epi1
yawang,cropped_76,happy,epi1
yawang,cropped_77,sad,epi1
yawang,cropped_78,None,epi1
yawang,cropped_79,sad,epi1
yawang,cropped_8,None,epi1
yawang,cropped_80,None,epi1
yawang,cropped_81,None,epi1
yawang,cropped_82,disgust,epi1
yawang,cropped_83,None,epi1
yawang,cropped_84,sad,epi1
yawang,cropped_85,fear,epi1
yawang,cropped_86,sad,epi1
yawang,cropped_87,surprise,epi1
yawang,cropped_88,sad,epi1
yawang,cropped_89,sad,epi1
yawang,cropped_9,fear,epi1
yawang,cropped_90,surprise,epi1
yawang,cropped_91,None,epi1
yawang,cropped_92,sad,epi1
yawang,cropped_93,surprise,epi1
yawang,cropped_94,sad,epi1
yawang,cropped_95,happy,epi1
yawang,cropped_96,sad,epi1
yawang,cropped_97,happy,epi1
yawang,cropped_98,None,epi1
yawang,cropped_99,None,epi1
yawang,cropped_1,happy,epi23
yawang,cropped_10,sad,epi23
yawang,cropped_100,sad,epi23
yawang,cropped_11,sad,epi23
yawang,cropped_12,fear,epi23
yawang,cropped_13,angry,epi23
yawang,cropped_14,None,epi23
yawang,cropped_15,None,epi23
yawang,cropped_16,happy,epi23
yawang,cropped_17,sad,epi23
yawang,cropped_18,happy,epi23
yawang,cropped_19,sad,epi23
yawang,cropped_2,fear,epi23
yawang,cropped_20,happy,epi23
yawang,cropped_21,surprise,epi23
yawang,cropped_22,angry,epi23
yawang,cropped_23,happy,epi23
yawang,cropped_24,surprise,epi23
yawang,cropped_25,sad,epi23
yawang,cropped_26,None,epi23
yawang,cropped_27,None,epi23
yawang,cropped_28,happy,epi23
yawang,cropped_29,happy,epi23
yawang,cropped_3,None,epi23
yawang,cropped_30,fear,epi23
yawang,cropped_31,None,epi23
yawang,cropped_32,happy,epi23
yawang,cropped_33,sad,epi23
yawang,cropped_34,None,epi23
yawang,cropped_35,None,epi23
yawang,cropped_36,sad,epi23
yawang,cropped_37,sad,epi23
yawang,cropped_38,sad,epi23
yawang,cropped_39,sad,epi23
yawang,cropped_4,sad,epi23
yawang,cropped_40,sad,epi23
yawang,cropped_41,sad,epi23
yawang,cropped_42,sad,epi23
yawang,cropped_43,angry,epi23
yawang,cropped_44,None,epi23
yawang,cropped_45,sad,epi23
yawang,cropped_46,surprise,epi23
yawang,cropped_47,sad,epi23
yawang,cropped_48,happy,epi23
yawang,cropped_49,None,epi23
yawang,cropped_5,fear,epi23
yawang,cropped_50,None,epi23
yawang,cropped_51,sad,epi23
yawang,cropped_52,happy,epi23
yawang,cropped_53,fear,epi23
yawang,cropped_54,fear,epi23
yawang,cropped_55,sad,epi23
yawang,cropped_56,fear,epi23
yawang,cropped_57,surprise,epi23
yawang,cropped_58,sad,epi23
yawang,cropped_59,fear,epi23
yawang,cropped_6,fear,epi23
yawang,cropped_60,sad,epi23
yawang,cropped_61,sad,epi23
yawang,cropped_62,happy,epi23
yawang,cropped_63,happy,epi23
yawang,cropped_64,happy,epi23
yawang,cropped_65,fear,epi23
yawang,cropped_66,fear,epi23
yawang,cropped_67,sad,epi23
yawang,cropped_68,None,epi23
yawang,cropped_69,sad,epi23
yawang,cropped_7,None,epi23
yawang,cropped_70,sad,epi23
yawang,cropped_71,angry,epi23
yawang,cropped_72,None,epi23
yawang,cropped_73,happy,epi23
yawang,cropped_74,sad,epi23
yawang,cropped_75,None,epi23
yawang,cropped_76,sad,epi23
yawang,cropped_77,angry,epi23
yawang,cropped_78,sad,epi23
yawang,cropped_79,sad,epi23
yawang,cropped_8,sad,epi23
yawang,cropped_80,sad,epi23
yawang,cropped_81,sad,epi23
yawang,cropped_82,sad,epi23
yawang,cropped_83,sad,epi23
yawang,cropped_84,happy,epi23
yawang,cropped_85,sad,epi23
yawang,cropped_86,None,epi23
yawang,cropped_87,surprise,epi23
yawang,cropped_88,sad,epi23
yawang,cropped_89,sad,epi23
yawang,cropped_9,fear,epi23
yawang,cropped_90,surprise,epi23
yawang,cropped_91,angry,epi23
yawang,cropped_92,happy,epi23
yawang,cropped_93,fear,epi23
yawang,cropped_94,sad,epi23
yawang,cropped_95,surprise,epi23
yawang,cropped_96,None,epi23
yawang,cropped_97,happy,epi23
yawang,cropped_98,sad,epi23
yawang,cropped_99,happy,epi23
yawang,cropped_1,sad,epi24
yawang,cropped_10,fear,epi24
yawang,cropped_100,None,epi24
yawang,cropped_11,None,epi24
yawang,cropped_12,happy,epi24
yawang,cropped_13,fear,epi24
yawang,cropped_14,None,epi24
yawang,cropped_15,angry,epi24
yawang,cropped_16,fear,epi24
yawang,cropped_17,surprise,epi24
yawang,cropped_18,fear,epi24
yawang,cropped_19,sad,epi24
yawang,cropped_2,fear,epi24
yawang,cropped_20,None,epi24
yawang,cropped_21,None,epi24
yawang,cropped_22,sad,epi24
yawang,cropped_23,fear,epi24
yawang,cropped_24,sad,epi24
yawang,cropped_25,sad,epi24
yawang,cropped_26,sad,epi24
yawang,cropped_27,fear,epi24
yawang,cropped_28,fear,epi24
yawang,cropped_29,surprise,epi24
yawang,cropped_3,angry,epi24
yawang,cropped_30,happy,epi24
yawang,cropped_31,sad,epi24
yawang,cropped_32,fear,epi24
yawang,cropped_33,happy,epi24
yawang,cropped_34,happy,epi24
yawang,cropped_35,sad,epi24
yawang,cropped_36,sad,epi24
yawang,cropped_37,None,epi24
yawang,cropped_38,fear,epi24
yawang,cropped_39,surprise,epi24
yawang,cropped_4,None,epi24
yawang,cropped_40,None,epi24
yawang,cropped_41,sad,epi24
yawang,cropped_42,fear,epi24
yawang,cropped_43,happy,epi24
yawang,cropped_44,sad,epi24
yawang,cropped_45,fear,epi24
yawang,cropped_46,fear,epi24
yawang,cropped_47,None,epi24
yawang,cropped_48,happy,epi24
yawang,cropped_49,fear,epi24
yawang,cropped_5,sad,epi24
yawang,cropped_50,sad,epi24
yawang,cropped_51,sad,epi24
yawang,cropped_52,None,epi24
yawang,cropped_53,None,epi24
yawang,cropped_54,fear,epi24
yawang,cropped_55,None,epi24
yawang,cropped_56,sad,epi24
yawang,cropped_57,sad,epi24
yawang,cropped_58,angry,epi24
yawang,cropped_59,sad,epi24
yawang,cropped_6,sad,epi24
yawang,cropped_60,sad,epi24
yawang,cropped_61,sad,epi24
yawang,cropped_62,None,epi24
yawang,cropped_63,happy,epi24
yawang,cropped_64,None,epi24
yawang,cropped_65,sad,epi24
yawang,cropped_66,fear,epi24
yawang,cropped_67,sad,epi24
yawang,cropped_68,None,epi24
yawang,cropped_69,sad,epi24
yawang,cropped_7,sad,epi24
yawang,cropped_70,fear,epi24
yawang,cropped_71,surprise,epi24
yawang,cropped_72,sad,epi24
yawang,cropped_73,sad,epi24
yawang,cropped_74,happy,epi24
yawang,cropped_75,None,epi24
yawang,cropped_76,fear,epi24
yawang,cropped_77,None,epi24
yawang,cropped_78,None,epi24
yawang,cropped_79,surprise,epi24
yawang,cropped_8,happy,epi24
yawang,cropped_80,fear,epi24
yawang,cropped_81,fear,epi24
yawang,cropped_82,sad,epi24
yawang,cropped_83,sad,epi24
yawang,cropped_84,None,epi24
yawang,cropped_85,disgust,epi24
yawang,cropped_86,None,epi24
yawang,cropped_87,sad,epi24
yawang,cropped_88,happy,epi24
yawang,cropped_89,None,epi24
yawang,cropped_9,happy,epi24
yawang,cropped_90,fear,epi24
yawang,cropped_91,sad,epi24
yawang,cropped_92,None,epi24
yawang,cropped_93,sad,epi24
yawang,cropped_94,fear,epi24
yawang,cropped_95,None,epi24
yawang,cropped_96,sad,epi24
yawang,cropped_97,sad,epi24
yawang,cropped_98,sad,epi24
yawang,cropped_99,sad,epi24
yawang,cropped_1,happy,epi12
yawang,cropped_10,None,epi12
yawang,cropped_100,None,epi12
yawang,cropped_11,happy,epi12
yawang,cropped_12,happy,epi12
yawang,cropped_13,None,epi12
yawang,cropped_14,sad,epi12
yawang,cropped_15,happy,epi12
yawang,cropped_16,None,epi12
yawang,cropped_17,None,epi12
yawang,cropped_18,sad,epi12
yawang,cropped_19,sad,epi12
yawang,cropped_2,happy,epi12
yawang,cropped_20,happy,epi12
yawang,cropped_21,angry,epi12
yawang,cropped_22,happy,epi12
yawang,cropped_23,None,epi12
